PTS,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,POS
21.5,1,3.5,29,6.5,7.4,87.8,3.7,4.5,F
20.8,1.3,3.8,34.2,3.9,4.4,87.6,6.6,3,F
19.2,2.2,5.6,38.2,3.2,3.7,87.5,5.5,2,F
17.6,1.2,2.8,42.1,2.9,3.3,86.7,4.6,2.6,F
19.3,1.7,4.7,37,2.9,3.3,86.1,5.8,3,F
22.1,1.6,4.4,37,4.9,5.7,85.4,4.3,4.8,F
21.2,1.7,4.5,38.7,3.1,3.6,85.1,9.5,2.4,F
21.6,1.5,3.7,38.9,3.8,4.5,84.8,6.1,5.6,F
19.9,0.3,0.7,35,5.6,6.7,84.1,8.4,3,F
15.6,1.7,4.6,36.3,2.4,2.9,83.9,5.2,2.6,F
10.8,0.8,2.8,30.6,2.5,3,83.3,5.1,2.2,F
19.7,0.4,1.5,26.9,5.4,6.4,83.3,3.9,2.5,F
10.7,2,5,39.6,1,1.2,83,3.8,1.5,F
9.7,1.3,3.2,39.8,1.6,2,82.8,2.5,1.1,F
9.7,1.1,2.8,39.8,1.5,1.9,82.8,4.4,1.3,F
15.4,0.4,1.4,31.8,4,4.8,82.4,5.1,2.7,F
18.1,1,2.8,34.6,3.7,4.5,82,6.5,1.7,F
10.8,0.6,2.1,28.6,1.9,2.3,81.8,4.3,4.5,F
5.1,0.6,1.4,39.1,1.1,1.3,81.5,3.2,1.1,F
11,1.5,3.5,43.3,1.2,1.5,81.4,2.9,1.7,F
9.4,0.9,2.3,39.5,1.8,2.2,81,4.3,4.7,F
20.6,1,3,34.4,3,3.7,80.6,4.4,3.3,F
15.9,0.9,2.4,36.9,2.6,3.2,80.4,7.1,1.3,F
16.8,1,2.8,35,5.1,6.3,80.2,5,1.9,F
25.9,1.5,4.9,30.2,7.6,9.5,80.2,7.3,4.4,F
12,0.5,1.4,32.5,3.7,4.6,80,5.3,1.7,F
6.7,0.4,1.2,37.2,1.3,1.6,80,2.8,1.3,F
10.6,0.4,1.3,35.6,1.3,1.7,79.4,4.4,4.1,F
16.4,1.8,4.9,37.2,2.3,2.9,79.4,3.9,4.5,F
17.6,0.8,2.1,41.3,3.4,4.2,79.2,6.6,1.7,F
6.9,0.7,1.9,37.1,1.2,1.5,79,4,1.3,F
6.9,0.4,1.3,26.9,0.8,1.1,79,2.7,2.2,F
22.2,0.8,2.5,31.1,4.6,5.8,78.9,7,1.9,F
14.1,1.4,4.2,33.7,2.4,3,78.9,4.4,2.3,F
6.4,0.2,1.1,22.2,0.9,1.2,78.4,3.4,0.7,F
9,0.4,1.9,23.9,1.4,1.7,78.4,3,1.7,F
9.7,0.7,2.1,35.4,1.7,2.1,78.4,3.7,1.9,F
9.4,0.3,1,32.8,2.1,2.7,78.4,7,1.4,F
13.3,1.2,3.3,36.6,1.8,2.3,78,4.9,1.3,F
