"","PLAYER","PTS","X3PM","X3PA","X3P.","FTM","FTA","FT.","REB","AST","POS"
"1392","names",6.7,0.4,1.2,37.2,1.3,1.6,80,2.8,1.3,"F"
"1442","names",6.9,0.4,1.3,26.9,0.8,1.1,79,2.7,2.2,"F"
"1451","names",22.2,0.8,2.5,31.1,4.6,5.8,78.9,7,1.9,"F"
"1472","names",6.4,0.2,1.1,22.2,0.9,1.2,78.4,3.4,0.7,"F"
"1481","names",9,0.4,1.9,23.9,1.4,1.7,78.4,3,1.7,"F"
"1501","names",9.4,0.3,1,32.8,2.1,2.7,78.4,7,1.4,"F"
"1511","names",13.3,1.2,3.3,36.6,1.8,2.3,78,4.9,1.3,"F"
"1521","names",7.7,0.4,1.2,38.1,1,1.2,77.8,3.7,1.4,"F"
"153","names",14.6,0.9,2.6,32.6,2.8,3.6,77.7,6.7,3.6,"F"
"1552","names",12.2,0.2,0.6,28.3,2.6,3.3,77,6.2,1.5,"F"
"156","names",6.5,0.6,2.2,28.8,1.3,1.7,76.9,6.4,2.9,"F"
"1612","names",5,0.5,1.9,25.2,0.9,1.2,75.8,2.9,0.3,"F"
"1621","names",5.7,0.5,1.6,33.8,1,1.3,75.7,3.3,1,"F"
"1631","names",13.4,0.4,1.1,37.9,2.1,2.8,75.6,9,1.8,"F"
"1642","names",7,0.6,1.9,33.3,1,1.3,75.6,3.9,1.6,"F"
"1652","names",23,0.2,0.9,28.2,4.6,6.1,75.1,13.4,6,"F"
"1681","names",20.6,0.9,2.6,36.3,4.4,5.9,74.8,4.9,5.5,"F"
"1691","names",15.5,1,3.1,33.6,4,5.4,73.6,5.2,2.9,"F"
"1702","names",18.1,1.5,4.1,35.8,2.7,3.7,73.5,7.4,2.1,"F"
"1711","names",6.9,0.5,1.6,33.9,1.3,1.8,73.3,4.7,1,"F"
"1732","names",7.5,0.7,2.4,29.2,1.1,1.4,73.1,2.6,1.3,"F"
"175","names",6.6,0.4,1.2,35.8,1.3,1.8,71.4,2.9,0.9,"F"
"1762","names",12.5,0.2,0.7,29.2,2.2,3,71.2,6.5,1.2,"F"
"1771","names",11.6,1.5,4.2,36.1,2.2,3.1,70.6,4.2,3.7,"F"
"1781","names",10.1,1.4,4.1,35.5,1,1.4,70.6,4.5,1.3,"F"
"1802","names",9.3,0.7,1.7,40.5,0.9,1.3,68.2,4.8,0.8,"F"
"1811","names",12.2,1.1,3.2,33.6,2,2.9,67.6,3.9,3.3,"F"
"182","names",16.7,0.1,0.6,20.9,3.3,5.1,65.3,8.3,2.4,"F"
"183","names",6.1,1.1,3,36.7,0.7,1.2,62.2,3.5,1.3,"F"
"184","names",8.6,0.8,2.5,33.3,0.8,1.2,61.7,6,1.1,"F"
"1851","names",20.1,2.4,7.5,32.3,2.3,3.7,61.5,7.2,4.8,"F"
"1871","names",9.4,0.4,1,35.3,1.1,1.4,79.1,3.9,1,"C"
"190","names",4.4,0.4,1.1,34,1,1.4,72.4,1.9,0.2,"C"
"1911","names",9.8,1.4,3.9,35.4,0.7,1,68.7,5.1,1.4,"C"
