PLAYER,PTS,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,POS
Harrison Barnes,16.4,2.3,5.7,39.5,3,3.6,82.4,4.7,1.5,F
Mike Muscala,7,1.4,4,34.8,1.1,1.3,82.4,3.8,1.2,F
Kyle Korver,8.6,2,5,39.7,0.9,1,82.2,2.3,1.2,F
Kelly Olynyk,10,1.4,4,35.4,1.9,2.3,82.2,4.7,1.8,F
Al Horford,13.6,1.1,3,36,1.1,1.4,82.1,6.7,4.2,F
Taurean Prince,13.5,2.2,5.7,39,1.7,2.1,81.9,3.6,2.1,F
Tomas Satoransky,8.9,0.8,2,39.5,1.6,2,81.9,3.5,5,F
Rudy Gay,13.7,1.1,2.7,40.2,1.7,2.1,81.6,6.8,2.6,F
Wes Iwundu,5,0.4,1.2,36.7,1.2,1.5,81.6,2.7,1.1,F
Jonathan Isaac,9.6,1.1,3.5,32.3,1.5,1.8,81.5,5.5,1.1,F
T.J. Warren,18,1.8,4.2,42.8,2.3,2.9,81.5,4,1.5,F
Otto Porter Jr.,13.9,1.9,4.6,40.6,1.4,1.7,81.3,5.6,2.1,F
Wesley Matthews,12.2,2.2,5.8,37.2,1.9,2.4,81,2.5,2.3,F
Bojan Bogdanovic,18,2,4.8,42.5,3,3.8,80.7,4.1,2,F
Evan Fournier,15.1,1.9,5.6,34,1.7,2.1,80.6,3.2,3.6,F
Mikal Bridges,8.3,1.3,3.8,33.5,1.2,1.4,80.5,3.2,2.1,F
Joel Embiid,27.5,1.2,4.1,30,8.2,10.1,80.4,13.6,3.7,F
Jonas Jerebko,6.3,0.9,2.6,36.7,0.9,1.1,80,3.9,1.3,F
Anthony Davis,25.9,0.9,2.6,33.1,6.1,7.7,79.4,12,3.9,F
Bobby Portis,14.2,1.5,3.8,39.3,1.5,1.9,79.4,8.1,1.4,F
Trevor Ariza,12.5,2.1,6.3,33.4,1.9,2.4,79.3,5.4,3.7,F
JaMychal Green,9.4,1.1,2.7,40.3,1.2,1.6,79.2,6.3,0.8,F
Danuel House Jr.,9.4,1.9,4.6,41.6,1.4,1.8,78.9,3.6,1,F
Darius Miller,8.2,1.9,5.3,36.5,0.8,1,78.9,1.9,2.1,F
Justin Jackson,7.2,1.1,3,35.5,0.8,1,78.5,2.6,1.2,F
Pascal Siakam,16.9,1,2.7,36.9,3,3.8,78.5,6.9,3.1,F
Maxi Kleber,6.8,1.1,3.1,35.3,0.8,1,78.4,4.6,1,F
Rodions Kurucs,8.5,0.9,2.9,31.5,1.1,1.5,78.3,3.9,0.8,F
Stanley Johnson,6.9,0.9,3.3,28.8,0.8,1,78.1,3.3,1.3,F
Dirk Nowitzki,7.3,1.3,4,31.2,0.8,1,78,3.1,0.7,F
Cedi Osman,13,1.7,4.9,34.8,1.9,2.4,77.9,4.7,2.6,F
Kelly Oubre Jr.,15.2,1.6,4.9,32,2.7,3.5,77.5,4.7,1.2,F
Michael Kidd-Gilchrist,6.7,0.3,0.7,34,1.5,1.9,77.2,3.8,1,F
Markieff Morris,9.4,1.2,3.5,33.5,1.2,1.6,77.2,4.6,1.4,F
Dwight Powell,10.6,0.5,1.6,30.7,2.5,3.3,77.2,5.3,1.5,F
Juancho Hernangomez,5.8,0.9,2.6,36.5,0.9,1.2,76.7,3.8,0.8,F
Marvin Williams,10.1,1.9,5.1,36.6,0.9,1.1,76.7,5.4,1.2,F
Jaren Jackson Jr.,13.8,0.9,2.4,35.9,2.6,3.4,76.6,4.7,1.1,F
Robert Covington,13.3,2.4,6.4,37.8,1.9,2.5,76.4,5.5,1.3,F
John Collins,19.5,0.9,2.6,34.8,3.3,4.4,76.3,9.8,2,F
Mario Hezonja,8.8,0.7,2.6,27.6,1.5,2,76.3,4.1,1.5,F
Serge Ibaka,15,0.7,2.3,29,1.8,2.4,76.3,8.1,1.3,F
Nemanja Bjelica,9.6,1.3,3.3,40.1,0.9,1.2,76.1,5.8,1.9,F
DeMarre Carroll,11.1,1.6,4.6,34.2,2.7,3.6,76,5.2,1.3,F
Taj Gibson,10.8,0.2,0.5,32.4,1.9,2.5,75.7,6.5,1.2,F
Miles Bridges,7.5,0.8,2.5,32.5,0.7,1,75.3,4,1.2,F
Blake Griffin,24.5,2.5,7,36.2,5.5,7.3,75.3,7.5,5.4,F
Kyle Kuzma,18.7,1.8,6,30.3,2.7,3.6,75.2,5.5,2.5,F
Garrett Temple,7.8,1.2,3.5,34.1,1.1,1.4,74.8,2.9,1.4,F
Zach Collins,6.6,0.5,1.6,33.1,1.2,1.6,74.6,4.2,0.9,F
Jonathon Simmons,6.5,0.5,1.9,26.9,1.3,1.7,74.2,2.3,2.3,F
Dwayne Bacon,7.3,0.9,2,43.7,0.8,1.1,73.9,2.1,1.1,F
Frank Kaminsky,8.6,1.1,3,36,1.7,2.3,73.8,3.5,1.3,F
Daniel Theis,5.7,0.4,1,38.8,0.8,1.2,73.7,3.4,1,F
Myles Turner,13.3,1,2.6,38.8,2,2.7,73.6,7.2,1.6,F
Allen Crabbe,9.6,2.3,6,37.8,1,1.3,73.2,3.4,1.1,F
Christian Wood,8.2,0.4,1.2,34.6,2,2.7,73.2,4,0.4,F
Aaron Gordon,16,1.6,4.4,34.9,2.4,3.2,73.1,7.4,3.7,F
Julius Randle,21.4,0.9,2.7,34.4,4.9,6.7,73.1,8.7,3.1,F
Giannis Antetokounmpo,27.7,0.7,2.8,25.6,6.9,9.5,72.9,12.5,5.9,F
Wayne Selden,6.9,0.7,2.3,31.6,0.9,1.2,72.8,2.4,1.5,F
Paul Millsap,12.6,0.8,2.3,36.5,2.6,3.6,72.7,7.2,2,F
Rodney McGruder,7.6,1.2,3.4,35.1,0.8,1.1,72.2,3.6,1.7,F
Corey Brewer,4.9,0.5,1.4,31.8,1,1.4,72.1,2.5,1.3,F
Jae Crowder,11.9,2.2,6.5,33.1,1.8,2.5,72.1,4.8,1.7,F
Michael Beasley,7,0.1,0.7,17.6,1.1,1.5,71.8,2.3,1,F
Kevin Knox II,12.8,1.7,4.9,34.3,2.2,3,71.7,4.5,1.1,F
Larry Nance Jr.,9.4,0.5,1.5,33.7,1.4,2,71.6,8.2,3.2,F
James Ennis III,6.7,0.9,2.7,35.3,1,1.4,71.6,3.1,0.7,F
James Johnson,7.8,0.9,2.7,33.6,0.9,1.3,71.4,3.2,2.5,F
Luol Deng,7.1,0.6,2,31.8,1.1,1.6,71.4,3.3,0.8,F
Luka Doncic,21.2,2.3,7.1,32.7,4.8,6.7,71.3,7.8,6,F
Jabari Parker,14.5,1,3,31.3,2,2.9,71.2,6.6,2.4,F
Noah Vonleh,8.4,0.7,2,33.6,1.6,2.3,71.2,7.8,1.9,F
Marquese Chriss,4.2,0.4,1.7,22.2,0.7,1,71.1,3.3,0.5,F
Omari Spellman,5.9,1,2.8,34.4,0.7,1,71.1,4.2,1,F
Jerami Grant,13.6,1.4,3.7,39.2,2,2.8,71,5.2,1,F
Dorian Finney-Smith,7.5,1,3.1,31.1,0.9,1.3,70.9,4.8,1.2,F
Evan Turner,6.8,0.2,0.7,21.2,1,1.5,70.8,4.5,3.9,F
Joe Ingles,12.1,2.3,5.9,39.1,1.1,1.5,70.7,4,5.7,F
Jake Layman,7.6,0.8,2.5,32.6,0.7,1,70.4,3.1,0.7,F
Andrew Wiggins,18.1,1.6,4.8,33.9,2.8,4.1,69.9,4.8,2.5,F
Trey Lyles,8.5,0.8,3.1,25.5,1.3,1.8,69.8,3.8,1.4,F
Draymond Green,7.4,0.7,2.5,28.5,1,1.4,69.2,7.3,6.9,F
Marvin Bagley III,14.9,0.5,1.5,31.3,2.9,4.2,69.1,7.6,1,F
Derrick Favors,11.8,0.2,1,21.8,2,3,67.5,7.4,1.2,F
Brandon Ingram,18.3,0.6,1.8,33,3.8,5.6,67.5,5.1,3,F
Omri Casspi,6.3,0.4,1.2,34.9,1.1,1.6,67.2,3.2,0.7,F
Josh Jackson,11.5,0.9,2.8,32.4,1.8,2.7,67.1,4.4,2.3,F
Maurice Harkless,7.7,0.6,2,27.5,0.8,1.2,67.1,4.5,1.2,F
Thon Maker,5,0.8,2.4,32,0.9,1.3,66.7,3.2,0.7,F
LeBron James,27.4,2,5.9,33.9,5.1,7.6,66.5,8.5,8.3,F
Kenneth Faried,10.4,0.2,0.7,32,1.7,2.7,64.6,6.8,0.5,F
Rondae Hollis-Jefferson,8.9,0.2,0.8,18.4,2,3.1,64.5,5.3,1.6,F
Thaddeus Young,12.6,0.6,1.8,34.9,1.1,1.7,64.4,6.5,2.5,F
DeAndre' Bembry,8.4,0.6,2.1,28.9,1.1,1.7,64,4.4,2.5,F
Justise Winslow,12.6,1.5,3.9,37.5,1.3,2.1,62.8,5.4,4.3,F
Alex Poythress,5.1,0.4,1.1,39.1,0.9,1.4,62.1,3.6,0.8,F
Sam Dekker,6.1,0.4,1.3,30.6,0.6,1,60.9,3.1,1,F
Derrick Jones Jr.,7,0.5,1.5,30.8,1.2,2,60.7,4,0.6,F
Dragan Bender,5,0.5,2.2,21.8,0.7,1.2,59.3,4,1.2,F
Andre Iguodala,5.7,0.7,2.1,33.3,0.6,1,58.2,3.7,3.2,F
Kyle Anderson,8,0.2,0.8,26.5,0.9,1.5,57.8,5.8,3,F
D.J. Wilson,5.8,1,2.6,36.2,0.5,1,55.3,4.6,1.1,F
Kevin Love,17,2.4,6.7,36.1,4.7,5.2,90.4,10.9,2.2,C
Aron Baynes,5.6,0.4,1.2,34.4,1,1.2,85.5,4.7,1.1,C
LaMarcus Aldridge,21.3,0.1,0.5,23.8,4.3,5.1,84.7,9.2,2.4,C
Brook Lopez,12.5,2.3,6.3,36.5,1.4,1.6,84.2,4.9,1.2,C
Karl-Anthony Towns,24.4,1.8,4.6,40,4.9,5.8,83.6,12.4,3.4,C
Gorgui Dieng,6.4,0.3,0.7,33.9,1.2,1.4,83,4.1,0.9,C
Luke Kornet,7,1.5,4.2,36.3,0.8,1,82.6,2.9,1.2,C
Mike Muscala,7,1.4,4,34.8,1.1,1.3,82.4,3.8,1.2,C
Al Horford,13.6,1.1,3,36,1.1,1.4,82.1,6.7,4.2,C
Nikola Jokic,20.1,1,3.4,30.7,3.6,4.4,82.1,10.8,7.3,C
Dewayne Dedmon,10.8,1.3,3.4,38.2,1.4,1.8,81.4,7.5,1.4,C
Moritz Wagner,4.8,0.5,1.8,28.6,1,1.2,81.1,2,0.6,C
Joel Embiid,27.5,1.2,4.1,30,8.2,10.1,80.4,13.6,3.7,C
Wendell Carter Jr.,10.3,0.1,0.7,18.8,2,2.5,79.5,7,1.8,C
Jonas Valanciunas,15.6,0.3,1,29.2,3,3.8,79.5,8.6,1.4,C
Anthony Davis,25.9,0.9,2.6,33.1,6.1,7.7,79.4,12,3.9,C
Nikola Vucevic,20.8,1.1,2.9,36.4,2.2,2.8,78.9,12,3.8,C
Enes Kanter,13.7,0.1,0.5,29.4,2.3,2.9,78.7,9.8,1.7,C
Thomas Bryant,10.5,0.5,1.4,33.3,1.5,1.9,78.1,6.3,1.3,C
Dwight Powell,10.6,0.5,1.6,30.7,2.5,3.3,77.2,5.3,1.5,C
Jaren Jackson Jr.,13.8,0.9,2.4,35.9,2.6,3.4,76.6,4.7,1.1,C
John Collins,19.5,0.9,2.6,34.8,3.3,4.4,76.3,9.8,2,C
Serge Ibaka,15,0.7,2.3,29,1.8,2.4,76.3,8.1,1.3,C
Marc Gasol,13.6,1.3,3.5,36.3,2.4,3.2,75.9,7.9,4.4,C
Zach Collins,6.6,0.5,1.6,33.1,1.2,1.6,74.6,4.2,0.9,C
Frank Kaminsky,8.6,1.1,3,36,1.7,2.3,73.8,3.5,1.3,C
Myles Turner,13.3,1,2.6,38.8,2,2.7,73.6,7.2,1.6,C
DeMarcus Cousins,16.3,0.9,3.2,27.4,3.5,4.8,73.6,8.2,3.6,C
Julius Randle,21.4,0.9,2.7,34.4,4.9,6.7,73.1,8.7,3.1,C
Jarrett Allen,10.9,0.1,0.6,13.3,2.5,3.5,70.9,8.4,1.4,C
Willy Hernangomez,7.3,0.3,0.7,38.5,1.7,2.5,69.4,5.4,1,C
Ian Mahinmi,4.1,0.1,0.5,18.8,1.2,1.8,68.9,3.8,0.7,C
Derrick Favors,11.8,0.2,1,21.8,2,3,67.5,7.4,1.2,C
Alex Len,11.1,1,2.6,36.3,1.8,2.8,64.8,5.5,1.1,C
Kenneth Faried,10.4,0.2,0.7,32,1.7,2.7,64.6,6.8,0.5,C
Andre Drummond,17.3,0.1,0.5,13.2,3.1,5.2,59,15.6,1.4,C
Mo Bamba,6.2,0.4,1.5,30,0.8,1.3,58.7,5,0.8,C
